,x
341,RP11-422P22.1
342,KLHDC7A
343,PAX7
344,TAS1R2
345,RP13-279N23.2
346,IFFO2
347,UBR4
348,RP1-43E13.2
349,EMC1
350,MRTO4
351,AKR7A3
352,AKR7A2
353,PQLC2
354,CAPZB
355,RP5-1056L3.1
356,MINOS1
357,MINOS1-NBL1
358,NBL1
359,HTR6
360,TMCO4
361,RP11-91K11.2
362,OTUD3
363,PLA2G2A
364,PLA2G5
365,PLA2G2D
366,PLA2G2F
367,RP3-340N1.2
368,PLA2G2C
369,UBXN10-AS1
370,UBXN10
371,RP3-340N1.6
372,VWA5B1
373,RP4-745E8.2
374,LINC01141
375,CAMK2N1
376,MUL1
377,FAM43B
378,CDA
379,PINK1
380,PINK1-AS
381,DDOST
382,KIF17
383,SH2D5
384,RP5-930J4.2
385,HP1BP3
386,EIF4G3
387,ECE1
388,RP3-329E20.2
389,RP5-1071N3.1
390,RP11-293F5.1
391,NBPF3
392,ALPL
393,RP11-63N8.3
394,RAP1GAP
395,USP48
396,LDLRAD2
397,HSPG2
398,CELA3B
399,CELA3A
400,RP1-224A6.3
401,LINC00339
402,CDC42
403,RP1-224A6.9
404,WNT4
405,ZBTB40
406,EPHA8
407,C1QA
408,C1QC
409,C1QB
410,EPHB2
411,RP11-69E9.1
412,LACTBL1
413,C1orf234
414,KDM1A
415,RP1-184J9.2
416,LUZP1
417,HTR1D
418,LINC01355
419,HNRNPR
420,ZNF436
421,ZNF436-AS1
422,RP5-1057J7.7
423,TCEA3
424,ASAP3
425,E2F2
426,RP1-150O5.3
427,ID3
428,MDS2
429,RPL11
430,TCEB3
431,TCEB3-AS1
432,PITHD1
433,LYPLA2
434,GALE
435,HMGCL
436,FUCA1
437,CNR2
438,RP11-4M23.3
439,PNRC2
440,SRSF10
441,RP11-293P20.2
442,MYOM3
443,IL22RA1
444,IFNLR1
445,RP11-10N16.2
446,RP11-10N16.3
447,GRHL3
448,STPG1
449,NIPAL3
450,RCAN3
451,RP4-594I10.3
452,NCMAP
453,SRRM1
454,CLIC4
455,RUNX3
456,RP4-799D16.1
457,RP4-706G24.1
458,SYF2
459,RSRP1
460,RP3-465N24.6
461,RHD
462,TMEM50A
463,RHCE
