,x
5095,AC116035.2
5096,TGFBR2
5097,GADL1
5098,STT3B
5099,OSBPL10
5100,OSBPL10-AS1
5101,ZNF860
5102,GPD1L
5103,CMTM8
5104,CMTM7
5105,CMTM6
5106,DYNC1LI1
5107,CNOT10
5108,CNOT10-AS1
5109,TRIM71
5110,CCR4
5111,GLB1
5112,CRTAP
5113,RP11-627J17.1
5114,SUSD5
5115,FBXL2
5116,UBP1
5117,CLASP2
5118,RP11-10C24.2
5119,RP11-10C24.3
5120,RP11-10C24.1
5121,PDCD6IP
5122,AC018359.1
5123,AC018359.3
5124,ARPP21
5125,ARPP21-AS1
5126,STAC
5127,DCLK3
5128,RP11-640L9.1
5129,TRANK1
5130,RP11-129K12.1
5131,EPM2AIP1
5132,MLH1
5133,LRRFIP2
5134,RP11-285J16.1
5135,RP11-259K5.1
5136,RP11-259K5.2
5137,GOLGA4
5138,C3orf35
5139,ITGA9
5140,CTDSPL
5141,VILL
5142,PLCD1
5143,DLEC1
5144,ACAA1
5145,MYD88
5146,OXSR1
5147,SLC22A13
5148,SLC22A14
5149,XYLB
5150,ACVR2B-AS1
5151,ACVR2B
5152,EXOG
5153,SCN5A
5154,SCN10A
5155,RP11-134J21.1
5156,SCN11A
5157,WDR48
5158,GORASP1
5159,TTC21A
5160,CSRNP1
5161,XIRP1
5162,CX3CR1
5163,CCR8
5164,SLC25A38
5165,RPSA
5166,MOBP
5167,MYRIP
5168,EIF1B
5169,ENTPD3-AS1
5170,ENTPD3
5171,RPL14
5172,ZNF619
5173,ZNF620
5174,ZNF621
5175,RP11-528N21.1
5176,RP11-761N21.1
5177,CTNNB1
5178,ULK4
5179,TRAK1
5180,CCK
5181,RP11-333B11.1
5182,LYZL4
5183,VIPR1
5184,VIPR1-AS1
5185,SEC22C
5186,SS18L2
5187,NKTR
5188,RP4-613B23.1
5189,ZBTB47
5190,KLHL40
5191,CCDC13
5192,HHATL-AS1
5193,CCDC13-AS1
5194,RP4-613B23.5
5195,RP11-70C1.1
5196,RP11-70C1.3
5197,ACKR2
5198,RP11-136C24.3
5199,CYP8B1
5200,KRBOX1-AS1
5201,FAM198A
5202,POMGNT2
5203,SNRK
5204,RP11-188P20.3
5205,SNRK-AS1
5206,ANO10
5207,ABHD5
5208,RP4-555D20.3
5209,RP4-555D20.4
5210,RP4-555D20.2
5211,TOPAZ1
5212,RP11-424N24.2
5213,TCAIM
5214,LINC00694
5215,RP11-101C21.4
5216,ZNF445
5217,ZNF852
5218,ZKSCAN7
5219,RP11-944L7.4
5220,ZNF197
5221,ZNF35
5222,RP11-348P10.2
5223,ZNF502
5224,ZNF501
5225,KIAA1143
5226,KIF15
5227,TGM4
5228,ZDHHC3
5229,EXOSC7
5230,CLEC3B
5231,CDCP1
5232,TMEM158
5233,LARS2
5234,LARS2-AS1
5235,LIMD1
5236,LIMD1-AS1
5237,SACM1L
5238,SLC6A20
5239,LZTFL1
5240,CCR9
5241,FYCO1
5242,CXCR6
5243,XCR1
5244,CCR3
5245,CCR1
5246,CCR2
5247,RP11-24F11.2
5248,CCR5
5249,CCRL2
5250,LTF
5251,LRRC2
5252,LRRC2-AS1
5253,TDGF1
5254,ALS2CL
5255,TMIE
5256,PRSS50
5257,PRSS42
5258,MYL3
5259,PTH1R
5260,CCDC12
5261,NBEAL2
5262,SETD2
5263,KIF9-AS1
5264,KIF9
5265,KLHL18
5266,RP11-708J19.1
5267,PTPN23
5268,SCAP
5269,ELP6
5270,CSPG5
5271,SMARCC1
5272,DHX30
5273,MAP4
5274,CDC25A
5275,ZNF589
5276,NME6
5277,SPINK8
5278,FBXW12
5279,PLXNB1
5280,CCDC51
5281,TMA7
5282,RP11-24C3.2
5283,ATRIP
5284,SHISA5
5285,PFKFB4
5286,UCN2
5287,COL7A1
5288,UQCRC1
5289,TMEM89
5290,SLC26A6
5291,CELSR3
5292,CELSR3-AS1
5293,RP11-572O6.1
5294,NCKIPSD
5295,IP6K2
5296,PRKAR2A
5297,PRKAR2A-AS1
5298,SLC25A20
5299,ARIH2OS
5300,ARIH2
5301,RP13-131K19.1
5302,RP13-131K19.2
5303,P4HTM
5304,WDR6
5305,DALRD3
5306,NDUFAF3
5307,IMPDH2
5308,RP13-131K19.6
5309,QRICH1
5310,QARS
5311,USP19
5312,LAMB2
5313,CCDC71
5314,KLHDC8B
5315,C3orf84
5316,CCDC36
5317,RP11-3B7.1
5318,C3orf62
5319,USP4
5320,GPX1
5321,RHOA
5322,TCTA
5323,AMT
5324,NICN1
5325,DAG1
5326,BSN-AS2
5327,BSN
5328,BSN-AS1
5329,APEH
5330,MST1
5331,RNF123
5332,AMIGO3
5333,GMPPB
5334,IP6K1
5335,CDHR4
5336,FAM212A
5337,UBA7
5338,TRAIP
5339,CAMKV
5340,MST1R
5341,CTD-2330K9.2
5342,CTD-2330K9.3
5343,MON1A
5344,RBM6
5345,RBM5
5346,RBM5-AS1
5347,SEMA3F-AS1
5348,SEMA3F
5349,GNAT1
5350,SLC38A3
5351,GNAI2
5352,U73166.2
5353,SEMA3B-AS1
5354,SEMA3B
5355,LSMEM2
5356,IFRD2
5357,HYAL3
5358,HYAL1
5359,HYAL2
5360,TUSC2
5361,RASSF1
5362,RASSF1-AS1
5363,ZMYND10-AS1
5364,ZMYND10
5365,NPRL2
5366,CYB561D2
5367,XXcos-LUCA11.5
5368,TMEM115
5369,CACNA2D2
5370,CYB561D2.1
5371,C3orf18
5372,HEMK1
5373,CISH
5374,MAPKAPK3
5375,RP11-804H8.6
5376,DOCK3
5377,MANF
5378,RBM15B
5379,VPRBP
5380,RAD54L2
5381,TEX264
5382,GRM2
5383,IQCF3
5384,IQCF2
5385,IQCF5
5386,IQCF1
5387,RRP9
5388,PARP3
5389,GPR62
5390,PCBP4
5391,ABHD14B
5392,ABHD14A
5393,ABHD14A-ACY1
5394,ACY1
5395,RPL29
5396,DUSP7
5397,POC1A
5398,ALAS1
5399,TLR9
5400,RP11-330H6.5
5401,TWF2
5402,RP5-1157M23.2
5403,PPM1M
5404,WDR82
5405,GLYCTK
5406,DNAH1
5407,BAP1
5408,PHF7
5409,SEMA3G
5410,TNNC1
5411,NISCH
5412,STAB1
5413,NT5DC2
5414,SMIM4
5415,PBRM1
5416,GNL3
5417,GLT8D1
5418,SPCS1
5419,NEK4
5420,ITIH1
5421,ITIH3
5422,ITIH4
5423,RP5-966M1.6
5424,ITIH4-AS1
5425,TMEM110-MUSTN1
5426,TMEM110
5427,SFMBT1
5428,RP11-894J14.5
5429,RFT1
5430,PRKCD
5431,TKT
5432,DCP1A
5433,CACNA1D
5434,RP11-884K10.6
5435,CHDH
5436,IL17RB
5437,RP11-884K10.7
5438,ACTR8
5439,SELK
5440,CACNA2D3
5441,CACNA2D3-AS1
5442,LRTM1
5443,RP11-889D3.1
5444,RP11-889D3.2
5445,RP11-64C1.1
5446,RP11-875H7.1
5447,WNT5A
5448,WNT5A-AS1
5449,RP11-875H7.5
5450,ERC2
5451,RP11-58O15.1
5452,CCDC66
5453,FAM208A
5454,ARHGEF3
5455,ARHGEF3-AS1
5456,SPATA12
5457,RP11-157F20.3
5458,IL17RD
5459,HESX1
5460,APPL1
5461,ASB14
5462,DNAH12
5463,PDE12
5464,ARF4
5465,ARF4-AS1
5466,DENND6A
5467,DENND6A-AS1
5468,RP11-755B10.3
5469,SLMAP
5470,FLNB
5471,FLNB-AS1
5472,DNASE1L3
5473,ABHD6
5474,RPP14
5475,RP11-80H18.4
5476,PXK
5477,PDHB
5478,RP11-802O23.3
5479,RP11-359I18.5
5480,KCTD6
5481,ACOX2
5482,FAM107A
5483,RP11-475O23.2
5484,FAM3D-AS1
5485,FAM3D
5486,C3orf67
5487,C3orf67-AS1
5488,CTD-2185K10.1
5489,RP11-285B24.1
5490,RP11-719N22.2
5491,FHIT
5492,PTPRG
5493,C3orf14
5494,FEZF2
5495,CADPS
5496,LINC00698
5497,SYNPR
5498,SYNPR-AS1
5499,SNTN
5500,C3orf49
5501,THOC7
5502,ATXN7
5503,SCAANT1
5504,PSMD6-AS2
5505,RP11-245J9.5
5506,PSMD6
5507,RP11-245J9.4
5508,RP11-245J9.6
5509,PRICKLE2-AS1
5510,LINC00994
5511,PRICKLE2
5512,PRICKLE2-AS2
5513,PRICKLE2-AS3
5514,RP11-14D22.1
5515,ADAMTS9
5516,ADAMTS9-AS1
5517,ADAMTS9-AS2
5518,RP11-543A18.1
5519,MAGI1
5520,MAGI1-AS1
5521,SLC25A26
5522,LRIG1
5523,KBTBD8
5524,RP11-85I21.1
5525,SUCLG2
5526,SUCLG2-AS1
5527,FAM19A1
5528,FAM19A4
5529,EOGT
5530,CTD-2013N24.2
5531,TMF1
5532,UBA3
5533,ARL6IP5
5534,LMOD3
5535,FRMD4B
5536,RP11-62G11.2
5537,MITF
5538,LINC01212
5539,RP11-231I13.2
5540,FOXP1
5541,FOXP1-AS1
5542,RP11-154H23.5
5543,RP11-154H23.4
5544,EIF4E3
5545,GPR27
5546,PROK2
5547,LINC00877
5548,RP11-398A8.4
5549,LINC00870
5550,RP11-433A10.3
5551,RYBP
5552,RP11-654C22.2
5553,SHQ1
5554,GXYLT2
5555,PPP4R2
5556,PDZRN3
5557,PDZRN3-AS1
5558,RP11-20B7.1
5559,RP11-508O18.1
5560,CNTN3
5561,RP11-803B1.8
5562,CTD-2026G6.3
5563,FRG2C
5564,LINC00960
5565,ZNF717
5566,ROBO2
5567,RP11-354H21.1
5568,RP11-314M24.1
5569,ROBO1
5570,RP11-47P18.1
5571,RP11-47P18.2
5572,RP11-6B4.1
5573,RP11-520D19.2
5574,GBE1
5575,RP11-359D24.1
5576,RP11-260O18.1
5577,LINC00971
5578,RP11-735B13.2
5579,CADM2
5580,CADM2-AS2
5581,CADM2-AS1
5582,RP11-331K15.1
5583,VGLL3
5584,LINC00506
5585,CHMP2B
5586,POU1F1
5587,RP11-451B8.1
5588,HTR1F
5589,CGGBP1
5590,RP11-159G9.5
5591,ZNF654
5592,C3orf38
5593,EPHA3
5594,PROS1
5595,ARL13B
5596,STX19
5597,DHFRL1
5598,NSUN3
5599,LINC00879
5600,MTRNR2L12
5601,EPHA6
5602,RP11-389G6.3
5603,ARL6
5604,RP11-389G6.5
5605,CRYBG3
5606,RP11-389G6.4
5607,MINA
5608,GABRR3
5609,RP11-343D2.11
5610,OR5H14
5611,OR5H15
5612,RP11-325B23.2
5613,OR5K2
5614,CLDND1
5615,CPOX
5616,RP11-227H4.5
5617,ST3GAL6-AS1
5618,ST3GAL6
5619,DCBLD2
5620,CTD-2021J15.1
5621,RP11-779P15.1
5622,RP11-779P15.2
5623,RP11-201E8.1
5624,COL8A1
5625,RP11-383I23.2
5626,CMSS1
5627,FILIP1L
5628,TMEM30C
5629,TBC1D23
5630,NIT2
5631,TOMM70A
5632,LNP1
5633,TMEM45A
5634,ADGRG7
5635,TFG
5636,ABI3BP
5637,IMPG2
5638,SENP7
5639,TRMT10C
5640,PCNP
5641,ZBTB11
5642,ZBTB11-AS1
5643,RPL24
5644,CEP97
5645,NXPE3
5646,RP11-49I4.3
5647,NFKBIZ
5648,RP11-221J22.1
5649,ZPLD1
5650,RP11-280H21.1
5651,ALCAM
5652,CBLB
5653,LINC00882
5654,DUBR
5655,RP11-446H18.5
5656,RP11-446H18.6
5657,CCDC54
5658,RP11-115H18.1
5659,BBX
5660,LINC00635
5661,LINC00636
5662,CD47
5663,LINC01215
5664,IFT57
5665,HHLA2
5666,MYH15
5667,KIAA1524
5668,AC069499.1
5669,DZIP3
5670,RETNLB
5671,TRAT1
5672,GUCA1C
5673,MORC1
5674,MORC1-AS1
5675,FLJ22763
5676,RP11-59E19.4
5677,LINC00488
5678,DPPA2
5679,DPPA4
5680,LINC01205
5681,RP11-457K10.1
5682,RP11-119D18.1
5683,RP11-553A10.1
5684,PVRL3-AS1
5685,PVRL3
5686,CD96
5687,RP11-615J4.3
5688,PLCXD2
5689,PHLDB2
5690,ABHD10
5691,TAGLN3
5692,TMPRSS7
5693,C3orf52
5694,GCSAM
5695,RP11-757F18.5
5696,SLC9C1
5697,RP11-90K6.1
5698,CD200
5699,RP11-231E6.1
5700,BTLA
5701,ATG3
5702,SLC35A5
5703,CCDC80
5704,RP11-572C15.5
5705,CD200R1L
5706,CD200R1
5707,RP11-484K9.4
5708,GTPBP8
5709,C3orf17
5710,RP11-572M11.4
5711,RP11-572M11.1
5712,RP11-572M11.3
5713,BOC
5714,CFAP44
5715,CFAP44-AS1
5716,SPICE1
5717,SIDT1
5718,SIDT1-AS1
5719,USF3
5720,NAA50
5721,RP11-271C24.2
5722,ATP6V1A
5723,GRAMD1C
5724,RP11-255E6.6
5725,ZDHHC23
5726,CCDC191
5727,QTRTD1
5728,DRD3
5729,RP11-553L6.2
5730,ZNF80
5731,TIGIT
5732,RP11-553L6.5
5733,ZBTB20
5734,ZBTB20-AS1
5735,RP11-197K3.1
5736,ZBTB20-AS2
5737,ZBTB20-AS3
5738,ZBTB20-AS4
5739,AC069063.2
5740,RP11-190P13.2
5741,GAP43
5742,LSAMP
5743,LSAMP-AS1
5744,LINC00903
5745,TUSC7
5746,LINC00901
5747,RP11-384F7.2
5748,RP11-768G7.3
5749,RP11-384F7.1
5750,IGSF11
5751,IGSF11-AS1
5752,C3orf30
5753,RP11-484M3.5
5754,UPK1B
5755,B4GALT4
5756,B4GALT4-AS1
5757,ARHGAP31
5758,ARHGAP31-AS1
5759,TMEM39A
5760,POGLUT1
5761,RP11-190C22.8
5762,TIMMDC1
5763,CD80
5764,RP11-190C22.9
5765,ADPRH
5766,PLA1A
5767,POPDC2
5768,COX17
5769,MAATS1
5770,RP11-169N13.4
5771,NR1I2
5772,GSK3B
5773,RP11-18H7.1
5774,GPR156
5775,LRRC58
5776,RP11-174O3.6
5777,FSTL1
5778,NDUFB4
5779,HGD
5780,RABL3
5781,GTF2E1
5782,RP11-500K19.1
5783,STXBP5L
5784,POLQ
5785,ARGFX
5786,FBXO40
5787,HCLS1
5788,GOLGB1
5789,IQCB1
5790,EAF2
5791,SLC15A2
5792,ILDR1
5793,CD86
5794,CASR
5795,CSTA
5796,CCDC58
5797,FAM162A
5798,WDR5B
5799,RP11-299J3.8
5800,KPNA1
5801,PARP9
5802,DTX3L
5803,PARP15
5804,PARP14
5805,HSPBAP1
5806,DIRC2
5807,RP11-67L2.2
5808,SEMA5B
5809,PDIA5
5810,SEC22A
5811,RP11-797D24.3
5812,ADCY5
5813,RP11-797D24.4
5814,HACD2
5815,MYLK-AS1
5816,MYLK
5817,MYLK-AS2
5818,RP11-9N20.3
5819,CCDC14
5820,ROPN1
5821,KALRN
5822,UMPS
5823,ITGB5
5824,ITGB5-AS1
5825,MUC13
5826,HEG1
5827,SLC12A8
5828,ZNF148
5829,SNX4
5830,OSBPL11
5831,RP11-379B18.6
5832,RP11-666A20.4
5833,ALG1L
5834,ROPN1B
5835,SLC41A3
5836,RP11-124N2.1
5837,ALDH1L1
5838,ALDH1L1-AS1
5839,ALDH1L1-AS2
5840,RP11-71E19.1
5841,RP11-71E19.2
5842,KLF15
5843,CFAP100
5844,ZXDC
5845,UROC1
5846,CHST13
5847,C3orf22
5848,TXNRD3
5849,CHCHD6
5850,PLXNA1
5851,C3orf56
5852,RP11-88I21.2
5853,LINC01471
5854,RP11-59J16.2
5855,RP11-59J16.3
5856,RP11-153F10.2
5857,TPRA1
5858,MCM2
5859,PODXL2
5860,ABTB1
5861,MGLL
5862,KBTBD12
5863,SEC61A1
5864,RUVBL1
5865,RUVBL1-AS1
5866,EEFSEC
5867,DNAJB8-AS1
5868,GATA2
5869,GATA2-AS1
5870,LINC01565
5871,RPN1
5872,RAB7A
5873,RP11-723O4.9
5874,RP11-723O4.2
5875,ACAD9
5876,KIAA1257
5877,EFCC1
5878,GP9
5879,RAB43
5880,ISY1-RAB43
5881,RP11-434H6.6
5882,ISY1
5883,RP11-434H6.7
5884,CNBP
5885,COPG1
5886,HMCES
5887,H1FX
5888,H1FX-AS1
5889,EFCAB12
5890,MBD4
5891,IFT122
5892,RHO
5893,H1FOO
5894,PLXND1
5895,TMCC1
5896,TMCC1-AS1
5897,RP11-93K22.6
5898,TRH
5899,ALG1L2
5900,RP11-93K22.13
5901,RP11-77P16.4
5902,COL6A5
5903,COL6A6
5904,PIK3R4
5905,ATP2C1
5906,RP11-39E3.3
5907,ASTE1
5908,NEK11
5909,RP11-265F19.1
5910,NUDT16
5911,MRPL3
5912,RP11-517B11.4
5913,CPNE4
5914,ACPP
5915,DNAJC13
5916,ACAD11
5917,NPHP3-ACAD11
5918,ACKR4
5919,UBA5
5920,NPHP3-AS1
5921,RP11-469L4.1
5922,TMEM108
5923,TMEM108-AS1
5924,BFSP2
5925,BFSP2-AS1
5926,RP11-91K8.5
5927,CDV3
5928,TOPBP1
5929,TF
5930,SRPRB
5931,RAB6B
5932,C3orf36
5933,SLCO2A1
5934,RYK
5935,RP11-200A1.1
5936,RP11-375I20.6
5937,AMOTL2
5938,ANAPC13
5939,CEP63
5940,EPHB1
5941,KY
5942,PPP2R3A
5943,RP11-305O4.3
5944,MSL2
5945,PCCB
5946,STAG1
5947,RP11-102M11.2
5948,SLC35G2
5949,RP11-731C17.2
5950,NCK1-AS1
5951,NCK1
5952,IL20RB
5953,IL20RB-AS1
5954,SOX14
5955,LINC01210
5956,CLDN18
5957,RP11-461M2.2
5958,DZIP1L
5959,A4GNT
5960,DBR1
5961,ARMC8
5962,NME9
5963,MRAS
5964,ESYT3
5965,CEP70
5966,FAIM
5967,PIK3CB
5968,LINC01391
5969,FOXL2
5970,FOXL2NB
5971,MRPS22
5972,PRR23C
5973,RP11-219D15.3
5974,COPB2
5975,RP11-319G6.1
5976,RBP2
5977,RBP1
5978,NMNAT3
5979,RP11-442N1.2
5980,RP11-442N1.1
5981,RP11-166D18.1
5982,CLSTN2
5983,RP11-68L1.2
5984,RP11-68L1.1
5985,CLSTN2-AS1
5986,TRIM42
5987,RP11-691G17.1
5988,SLC25A36
5989,SPSB4
5990,RP11-231L11.1
5991,PXYLP1
5992,RP11-438D8.2
5993,ZBTB38
5994,RASA2
5995,RP11-340E6.1
5996,RNF7
5997,GRK7
5998,ATP1B3
5999,ATP1B3-AS1
6000,TFDP2
6001,GK5
6002,XRN1
6003,ATR
6004,PLS1
6005,PLS1-AS1
6006,TRPC1
6007,PCOLCE2
6008,RP11-372E1.4
6009,PAQR9
6010,PAQR9-AS1
6011,U2SURP
6012,RP11-91G21.1
6013,CHST2
6014,SLC9A9
6015,SLC9A9-AS1
6016,SLC9A9-AS2
6017,C3orf58
6018,RP11-88H10.2
6019,RP11-88H10.3
6020,RP11-274H2.2
6021,RP11-274H2.3
6022,PLOD2
6023,PLSCR4
6024,PLSCR2
6025,PLSCR1
6026,PLSCR5
6027,RP11-649A16.1
6028,ZIC4
6029,ZIC1
6030,RP11-71N10.1
6031,RP11-501O2.1
6032,RP11-501O2.3
6033,RP11-501O2.4
6034,RP11-501O2.5
6035,AGTR1
6036,CPB1
6037,RP11-680B3.2
6038,CPA3
6039,GYG1
6040,HLTF
6041,HLTF-AS1
6042,HPS3
6043,CP
6044,RP11-206M11.7
6045,TM4SF18
6046,TM4SF1
6047,TM4SF1-AS1
6048,TM4SF4
6049,WWTR1
6050,WWTR1-AS1
6051,COMMD2
6052,ANKUB1
6053,RNF13
6054,PFN2
6055,RP11-651P23.5
6056,RP11-167H9.4
6057,RP11-167H9.3
6058,RP11-167H9.5
6059,LINC01213
6060,LINC01214
6061,TSC22D2
6062,SERP1
6063,EIF2A
6064,SELT
6065,ERICH6
6066,ERICH6-AS1
6067,SIAH2
6068,SIAH2-AS1
6069,CLRN1-AS1
6070,RP11-166N6.3
6071,CLRN1
6072,MED12L
6073,GPR171
6074,P2RY14
6075,GPR87
6076,P2RY13
6077,P2RY12
6078,IGSF10
6079,RP11-454C18.1
6080,AADACL2
6081,AADACL2-AS1
6082,RP11-64D22.5
6083,AADAC
6084,SUCNR1
6085,RP11-246A10.1
6086,MBNL1
6087,MBNL1-AS1
6088,TMEM14EP
6089,RP11-362A9.3
6090,P2RY1
6091,RP11-529G21.2
6092,RAP2B
6093,RP11-292E2.1
6094,RP11-292E2.2
6095,RP11-292E2.4
6096,C3orf79
6097,RP11-217E22.5
6098,ARHGEF26
6099,DHX36
6100,GPR149
6101,RP11-656A15.1
6102,RP11-439C8.1
6103,MME
6104,MME-AS1
6105,LINC01487
6106,RP11-451G4.2
6107,RP11-451G4.3
6108,PLCH1
6109,PLCH1-AS1
6110,PLCH1-AS2
6111,C3orf33
6112,SLC33A1
6113,GMPS
6114,KCNAB1
6115,KCNAB1-AS2
6116,KCNAB1-AS1
6117,RP11-305K5.1
6118,SSR3
6119,TIPARP-AS1
6120,TIPARP
6121,LINC00886
6122,LEKR1
6123,LINC00880
6124,RP11-6F2.5
6125,LINC00881
6126,CCNL1
6127,RP11-555M1.3
6128,VEPH1
6129,PTX3
6130,PQLC2L
6131,RP11-290K4.2
6132,SHOX2
6133,RSRC1
6134,RP11-538P18.2
6135,MLF1
6136,GFM1
6137,LXN
6138,RP11-379F4.7
6139,RP11-379F4.6
6140,RARRES1
6141,MFSD1
6142,RP11-379F4.9
6143,IQCJ-SCHIP1
6144,IQCJ-SCHIP1-AS1
6145,IL12A-AS1
6146,IL12A
6147,LINC01100
6148,C3orf80
6149,RP11-432B6.3
6150,SMC4
6151,TRIM59
6152,KPNA4
6153,RP11-16N11.2
6154,PPM1L
6155,B3GALNT1
6156,NMD3
6157,SPTSSB
6158,RP11-3P17.4
6159,OTOL1
6160,RP11-774I5.1
6161,RP11-10O22.1
6162,LINC01192
6163,RP11-418B12.1
6164,LINC01323
6165,LINC01324
6166,SI
6167,RP11-747D18.1
6168,SLITRK3
6169,LINC01322
6170,BCHE
6171,LINC01326
6172,RP11-12K11.2
6173,ZBBX
6174,LINC01327
6175,SERPINI2
6176,WDR49
6177,PDCD10
6178,SERPINI1
6179,RP11-298O21.6
6180,RP11-298O21.3
6181,RP11-298O21.2
6182,LINC01330
6183,GOLIM4
6184,RP11-637O11.2
6185,RP11-368I23.2
6186,RP11-368I23.3
6187,RP11-368I23.4
6188,RP11-152C17.1
6189,MECOM
6190,RP11-641D5.2
6191,AC074033.1
6192,TERC
6193,ACTRT3
6194,RP11-816J6.3
6195,MYNN
6196,RP11-362K14.5
6197,LRRC34
6198,RP11-362K14.7
6199,RP11-362K14.6
6200,LRRIQ4
6201,LRRC31
6202,SAMD7
6203,RP11-379K17.4
6204,SEC62
6205,SEC62-AS1
6206,GPR160
6207,PHC3
6208,RP11-379K17.12
6209,PRKCI
6210,RP11-543D10.2
6211,SKIL
6212,RP11-469J4.3
6213,CLDN11
6214,SLC7A14
6215,RP11-373E16.4
6216,RPL22L1
6217,EIF5A2
6218,SLC2A2
6219,TNIK
6220,RP11-185E8.1
6221,PLD1
6222,TMEM212
6223,TMEM212-AS1
6224,FNDC3B
6225,GHSR
6226,TNFSF10
6227,RP11-408H1.3
6228,NCEH1
6229,ECT2
6230,SPATA16
6231,RP11-324C10.1
6232,NLGN1
6233,NLGN1-AS1
6234,NAALADL2
6235,NAALADL2-AS2
6236,NAALADL2-AS1
6237,LINC01208
6238,RP11-644C3.1
6239,TBL1XR1
6240,TBL1XR1-AS1
6241,LINC00501
6242,RP11-706D8.3
6243,LINC00578
6244,RP11-114M1.2
6245,KCCAT211
6246,RP11-2L8.1
6247,RP11-2L8.2
6248,RP11-33A14.1
6249,KCNMB2
6250,KCNMB2-AS1
6251,ZMAT3
6252,RP11-360P21.2
6253,PIK3CA
6254,KCNMB3
6255,ZNF639
6256,RP11-255C15.3
6257,MFN1
6258,GNB4
6259,AC007620.3
6260,RP11-145M9.5
6261,ACTL6A
6262,RP11-15L13.4
6263,RP11-145M9.6
6264,MRPL47
6265,NDUFB5
6266,USP13
6267,PEX5L
6268,RP11-494H4.3
6269,PEX5L-AS1
6270,PEX5L-AS2
6271,RP11-420J11.2
6272,RP11-496B10.3
6273,TTC14
6274,CCDC39
6275,CCDC39-AS1
6276,FXR1
6277,DNAJC19
6278,RP11-275H4.1
6279,RP11-4B14.3
6280,SOX2
6281,LINC01206
6282,RP11-416O18.2
6283,RP11-338L18.1
6284,FLJ46066
6285,RP11-139K4.2
6286,RP11-646E18.2
6287,RP11-646E18.4
6288,RP11-225N10.1
6289,ATP11B
6290,RP11-531F16.4
6291,DCUN1D1
6292,MCCC1
6293,MCCC1-AS1
6294,LAMP3
6295,MCF2L2
6296,B3GNT5
6297,KLHL6
6298,KLHL6-AS1
6299,KLHL24
6300,YEATS2
6301,YEATS2-AS1
6302,MAP6D1
6303,PARL
6304,ABCC5
6305,ABCC5-AS1
6306,HTR3D
6307,HTR3C
6308,HTR3E-AS1
6309,HTR3E
6310,RP11-778D9.13
6311,RP11-778D9.12
6312,EIF2B5
6313,ALG3
6314,CAMK2N2
6315,CLCN2
6316,THPO
6317,EIF2B5-AS1
6318,MAGEF1
6319,RP11-329B9.4
6320,RP11-329B9.3
6321,RP11-329B9.5
6322,RP11-329B9.1
6323,VPS8
6324,C3orf70
6325,EHHADH-AS1
6326,EHHADH
6327,MAP3K13
6328,TMEM41A
6329,LIPH
6330,SENP2
6331,IGF2BP2
6332,IGF2BP2-AS1
6333,TRA2B
6334,ETV5
6335,ETV5-AS1
6336,DGKG
6337,RP11-78H24.1
6338,RP11-48F14.1
6339,CRYGS
6340,TBCCD1
6341,DNAJB11
6342,RP11-573D15.8
6343,AHSG
6344,FETUB
6345,HRG
6346,KNG1
6347,RP11-573D15.9
6348,EIF4A2
6349,RFC4
6350,RP11-573D15.3
6351,RP11-573D15.2
6352,ADIPOQ
6353,ADIPOQ-AS1
6354,ST6GAL1
6355,RPL39L
6356,RP11-208N14.4
6357,RTP1
6358,MASP1
6359,RTP4
6360,SST
6361,RP11-211G3.3
6362,BCL6
6363,RP11-211G3.2
6364,RP11-30O15.1
6365,RP11-44H4.1
6366,RP11-132N15.3
6367,RP11-430L16.1
6368,LPP-AS2
6369,LPP
6370,LPP-AS1
6371,TPRG1-AS1
6372,TPRG1
6373,TP63
6374,P3H2
6375,P3H2-AS1
6376,CLDN1
6377,CLDN16
6378,TMEM207
6379,IL1RAP
6380,GMNC
6381,OSTN
6382,OSTN-AS1
6383,UTS2B
6384,CCDC50
6385,PYDC2
6386,RP11-197K6.1
6387,RP11-655G22.1
6388,FGF12
6389,FGF12-AS1
6390,FGF12-AS2
6391,FGF12-AS3
6392,MB21D2
6393,RP11-143P4.2
6394,HRASLS
6395,ATP13A5
6396,ATP13A5-AS1
6397,ATP13A4
6398,ATP13A4-AS1
6399,OPA1
6400,OPA1-AS1
6401,RP11-699L21.1
6402,RP11-699L21.2
6403,RP11-407B7.3
6404,RP11-135A1.3
6405,RP11-135A1.2
6406,HES1
6407,RP11-513G11.4
6408,RP11-513G11.3
6409,RP11-513G11.2
6410,LINC00887
6411,CPN2
6412,LRRC15
6413,GP5
6414,ATP13A3
6415,LINC00884
6416,TMEM44-AS1
6417,TMEM44
6418,AC046143.3
6419,RP11-534C12.1
6420,LSG1
6421,FAM43A
6422,AC106706.1
6423,AC090505.6
6424,AC090505.4
6425,AC090505.1
6426,XXYLT1
6427,XXYLT1-AS1
6428,XXYLT1-AS2
6429,ACAP2
6430,PPP1R2
6431,AC091633.3
6432,APOD
6433,AC069513.4
6434,LINC00969
6435,MUC20
6436,MUC4
6437,AC124944.5
6438,TNK2
6439,TNK2-AS1
6440,AC124944.3
6441,RP11-352G9.1
6442,RP11-480A16.1
6443,TFRC
6444,LINC00885
6445,ZDHHC19
6446,SLC51A
6447,PCYT1A
6448,RP11-447L10.1
6449,AC069257.8
6450,TM4SF19-TCTEX1D2
6451,TM4SF19-AS1
6452,UBXN7
